pollutant,quintile,value,total_obs,city,city_order,year,statistic
pm10,1,0.522214611872146,43800,Bogota,1,2023,available
pm10,2,0.212024353120244,26280,Bogota,1,2023,available
pm10,3,0.68382257012394,61320,Bogota,1,2023,available
pm10,4,0.841118721461187,43800,Bogota,1,2023,available
pm10,5,0.804480593607306,70080,Bogota,1,2023,available
pm25,1,0.481415525114155,43800,Bogota,1,2023,available
pm25,2,0.327587519025875,26280,Bogota,1,2023,available
pm25,3,0.590166340508806,61320,Bogota,1,2023,available
pm25,4,0.854155251141553,43800,Bogota,1,2023,available
pm25,5,0.854737442922374,70080,Bogota,1,2023,available
pm10,1,0.537614155251142,17520,Mexico City,2,2023,available
pm10,2,0.646069797782127,61320,Mexico City,2,2023,available
pm10,3,0.196822678843227,52560,Mexico City,2,2023,available
pm10,4,0.577868150684932,70080,Mexico City,2,2023,available
pm10,5,0.754794520547945,8760,Mexico City,2,2023,available
pm25,1,0.483047945205479,17520,Mexico City,2,2023,available
pm25,2,0.637981082844097,61320,Mexico City,2,2023,available
pm25,3,0.131659056316591,52560,Mexico City,2,2023,available
pm25,4,0.304537671232877,70080,Mexico City,2,2023,available
pm25,5,0,8760,Mexico City,2,2023,available
pm10,1,0.923344748858448,17520,Santiago,3,2023,available
pm10,2,0.973287671232877,17520,Santiago,3,2023,available
pm10,3,0.972374429223744,17520,Santiago,3,2023,available
pm10,4,0.945262557077626,17520,Santiago,3,2023,available
pm10,5,0.984474885844749,17520,Santiago,3,2023,available
pm25,1,0.910616438356164,17520,Santiago,3,2023,available
pm25,2,0.965753424657534,17520,Santiago,3,2023,available
pm25,3,0.959303652968037,17520,Santiago,3,2023,available
pm25,4,0.934874429223744,17520,Santiago,3,2023,available
pm25,5,0.968207762557078,17520,Santiago,3,2023,available
pm10,1,0.913263321664722,43707,Sao Paulo,4,2023,available
pm10,2,0.778387399126717,87486,Sao Paulo,4,2023,available
pm10,3,0.969349315068493,17520,Sao Paulo,4,2023,available
pm10,4,0.563213470319635,70080,Sao Paulo,4,2023,available
pm10,5,0.454975266362253,105120,Sao Paulo,4,2023,available
pm25,1,0.69723385270094,43707,Sao Paulo,4,2023,available
pm25,2,0.196682897835082,87486,Sao Paulo,4,2023,available
pm25,3,0.476255707762557,17520,Sao Paulo,4,2023,available
pm25,4,0.564982876712329,70080,Sao Paulo,4,2023,available
pm25,5,0.4462899543379,105120,Sao Paulo,4,2023,available
